QUARTER,YYYY,ICS_ALL,ICS_northeast,ICS_midwest,ICS_south,ICS_west
Jan.-Mar.,1980,63.9,61.3,60.7,63.8,66.8
Apr.-June,1980,54.4,52.7,54.8,51.5,56.3
Jul.-Sep.,1980,67.8,63.7,63.1,69.6,71.2
Oct.-Dec.,1980,72,69,68.2,74.6,72.3
Jan.-Mar.,1981,68.3,65.8,64.6,68.6,72.3
Apr.-June,1981,73.9,68.9,73.8,73.9,76.2
Jul.-Sep.,1981,74.8,73.1,70,76.5,77.2
Oct.-Dec.,1981,65.7,62.9,65.6,64.4,69.1
Jan.-Mar.,1982,66.6,65.1,61.3,69.8,71.3
Apr.-June,1982,66.2,65,65.4,65.5,70
Jul.-Sep.,1982,66.7,67.5,64,66.4,70.1
Oct.-Dec.,1982,72.5,71.6,68,73.3,79.7
Jan.-Mar.,1983,75,72,72.1,77.4,78.3
Apr.-June,1983,91.5,90.8,89.1,90.8,97.7
Jul.-Sep.,1983,91.2,92.5,90.9,90,92.1
Oct.-Dec.,1983,91.6,89.9,89,92.7,94.9
Jan.-Mar.,1984,99.5,102.7,98,97.5,100.7
Apr.-June,1984,96.6,97.4,95,95.8,100.2
Jul.-Sep.,1984,98.9,100.5,97.8,98.9,98.5
Oct.-Dec.,1984,95,95.6,91,96.7,98.5
Jan.-Mar.,1985,94.5,98.1,91.6,93.6,96.4
Apr.-June,1985,94.3,94.8,91.9,95.1,96.3
Jul.-Sep.,1985,92.8,95.7,92.3,90.8,94.4
Oct.-Dec.,1985,91,94.6,88,90.3,93.3
Jan.-Mar.,1986,95.5,99.9,93.8,94,97
Apr.-June,1986,96.8,103.5,92.3,95.2,100.3
Jul.-Sep.,1986,94.9,100.3,91.3,94.5,96.3
Oct.-Dec.,1986,92,95.4,88.7,93.3,91.6
Jan.-Mar.,1987,90.5,98.4,87.3,91.1,88.1
Apr.-June,1987,91.8,94.5,92.3,92.5,88
Jul.-Sep.,1987,93.9,97.2,93.9,94.6,90.2
Oct.-Dec.,1987,86.4,87.6,83.2,88.8,85.9
Jan.-Mar.,1988,92.3,98.2,92.1,90.6,90
Apr.-June,1988,93.5,97.2,93.4,91.7,93.5
Jul.-Sep.,1988,96,96.3,98.3,93.1,96.7
Oct.-Dec.,1988,93,92.8,92.2,93.1,94.6
Jan.-Mar.,1989,95.9,96.9,96.3,94.9,95.6
Apr.-June,1989,90.9,89.3,90.7,91.7,91.5
Jul.-Sep.,1989,92.5,89.7,94.9,91.4,93.5
Oct.-Dec.,1989,91.8,85.3,92.6,93.5,94.2
Jan.-Mar.,1990,91.3,87.5,89.2,92.5,95.9
Apr.-June,1990,90.9,80.2,94.7,91,97.6
Jul.-Sep.,1990,79.1,70.8,82.3,78,85.6
Oct.-Dec.,1990,65.2,59.8,66.8,66,66.8
Jan.-Mar.,1991,74.8,69.9,76.5,76.9,74.3
Apr.-June,1991,80.8,74.3,81.5,81.7,84.7
Jul.-Sep.,1991,82.6,76,82.9,85.5,85.5
Oct.-Dec.,1991,71.9,68.1,72.3,73.4,72.3
Jan.-Mar.,1992,70.7,69.8,68.3,75.9,66.6
Apr.-June,1992,78.9,76.4,78,79.9,80.9
Jul.-Sep.,1992,76.1,71.3,76.4,82,69.9
Oct.-Dec.,1992,83.3,79.5,84.8,85.7,81.5
Jan.-Mar.,1993,87.3,83.4,88.6,89.6,85.4
Apr.-June,1993,82.5,80.2,82.7,83.5,82.7
Jul.-Sep.,1993,77.4,74.4,75.1,82.8,74
Oct.-Dec.,1993,84.1,80.6,83,87,83.6
Jan.-Mar.,1994,93,93.1,94.3,93,91.4
Apr.-June,1994,92.2,89.8,94.2,93.1,90.3
Jul.-Sep.,1994,90.7,88.6,93.6,91,88.4
Oct.-Dec.,1994,93.1,94.8,95,92.6,90.1
Jan.-Mar.,1995,94.3,87.6,95.3,96.8,94.6
Apr.-June,1995,91.7,85.3,93.2,95.9,89.1
Jul.-Sep.,1995,93.1,91.4,94.7,92.9,92.9
Oct.-Dec.,1995,89.8,83.6,95.4,89.8,88.6
Jan.-Mar.,1996,90.5,84.2,95.7,88.5,93.3
Apr.-June,1996,91.5,84.3,97.4,91.3,91.4
Jul.-Sep.,1996,94.9,91.2,98.5,94.6,94.4
Oct.-Dec.,1996,97.5,95.9,98,97,99.2
Jan.-Mar.,1997,99,99.5,100.4,98.4,97.8
Apr.-June,1997,103,98.5,103.8,104.5,104
Jul.-Sep.,1997,105.8,102.4,107.2,105.9,107.2
Oct.-Dec.,1997,105,104,104.8,105.8,104.8
Jan.-Mar.,1998,107.8,107,109.3,109,104.4
Apr.-June,1998,106.9,105.8,107.5,107.9,105.7
Jul.-Sep.,1998,103.5,103.6,103.2,103.1,104.5
Oct.-Dec.,1998,100.2,100.9,101.9,98.6,100.2
Jan.-Mar.,1999,105.9,104.8,105.5,107.3,105.1
Apr.-June,1999,106.2,108.1,103,107.4,106.2
Jul.-Sep.,1999,105.9,105.6,103.8,107.5,105.8
Oct.-Dec.,1999,105.2,105.3,105.3,103.2,108.7
Jan.-Mar.,2000,110.1,112.8,108.1,110.2,110
Apr.-June,2000,108.8,111.3,109.2,107.4,108.3
Jul.-Sep.,2000,107.5,107.1,107,106,110.7
Oct.-Dec.,2000,103.9,103.2,105.1,103.8,103.6
Jan.-Mar.,2001,92.3,91.6,88.6,94,94.2
Apr.-June,2001,91,92.1,91.2,91.7,88.6
Jul.-Sep.,2001,88.5,86.7,86.5,91.2,87.9
Oct.-Dec.,2001,85.1,82,85.1,86.8,85.3
