year,state,weeks_left,days_left,party,candidate,poll_date,poll_support,before_convention
2016,National,36,250,REP,Donald Trump,3/3/16,42.9214,TRUE
2016,National,36,250,DEM,Hillary Rodham Clinton,3/3/16,47.38879,TRUE
2016,National,36,249,REP,Donald Trump,3/4/16,42.70839,TRUE
2016,National,36,249,DEM,Hillary Rodham Clinton,3/4/16,47.35847,TRUE
2016,National,35,248,REP,Donald Trump,3/5/16,42.56142,TRUE
2016,National,35,248,DEM,Hillary Rodham Clinton,3/5/16,47.32251,TRUE
2016,National,35,247,REP,Donald Trump,3/6/16,41.99857,TRUE
2016,National,35,247,DEM,Hillary Rodham Clinton,3/6/16,48.23955,TRUE
2016,National,35,246,REP,Donald Trump,3/7/16,41.91603,TRUE
2016,National,35,246,DEM,Hillary Rodham Clinton,3/7/16,48.1249,TRUE
2016,National,35,245,REP,Donald Trump,3/8/16,41.82387,TRUE
2016,National,35,245,DEM,Hillary Rodham Clinton,3/8/16,48.21116,TRUE
2016,National,35,244,REP,Donald Trump,3/9/16,41.71922,TRUE
2016,National,35,244,DEM,Hillary Rodham Clinton,3/9/16,48.33816,TRUE
2016,National,35,243,REP,Donald Trump,3/10/16,41.80345,TRUE
2016,National,35,243,DEM,Hillary Rodham Clinton,3/10/16,48.2334,TRUE
2016,National,35,242,REP,Donald Trump,3/11/16,41.98511,TRUE
2016,National,35,242,DEM,Hillary Rodham Clinton,3/11/16,48.10286,TRUE
2016,National,34,241,REP,Donald Trump,3/12/16,42.36272,TRUE
2016,National,34,241,DEM,Hillary Rodham Clinton,3/12/16,47.46333,TRUE
2016,National,34,240,REP,Donald Trump,3/13/16,42.07224,TRUE
2016,National,34,240,DEM,Hillary Rodham Clinton,3/13/16,47.59109,TRUE
2016,National,34,239,REP,Donald Trump,3/14/16,42.33985,TRUE
2016,National,34,239,DEM,Hillary Rodham Clinton,3/14/16,47.49745,TRUE
2016,National,34,238,REP,Donald Trump,3/15/16,42.36718,TRUE
2016,National,34,238,DEM,Hillary Rodham Clinton,3/15/16,47.66542,TRUE
2016,National,34,237,REP,Donald Trump,3/16/16,42.30458,TRUE
2016,National,34,237,DEM,Hillary Rodham Clinton,3/16/16,47.58393,TRUE
2016,National,34,236,REP,Donald Trump,3/17/16,42.39415,TRUE
2016,National,34,236,DEM,Hillary Rodham Clinton,3/17/16,47.41105,TRUE
2016,National,34,235,REP,Donald Trump,3/18/16,42.26918,TRUE
2016,National,34,235,DEM,Hillary Rodham Clinton,3/18/16,47.29955,TRUE
2016,National,33,234,REP,Donald Trump,3/19/16,42.42799,TRUE
2016,National,33,234,DEM,Hillary Rodham Clinton,3/19/16,47.12518,TRUE
2016,National,33,233,REP,Donald Trump,3/20/16,41.60321,TRUE
2016,National,33,233,DEM,Hillary Rodham Clinton,3/20/16,47.40889,TRUE
2016,National,33,232,REP,Donald Trump,3/21/16,41.57635,TRUE
2016,National,33,232,DEM,Hillary Rodham Clinton,3/21/16,47.43297,TRUE
2016,National,33,231,REP,Donald Trump,3/22/16,40.85947,TRUE
2016,National,33,231,DEM,Hillary Rodham Clinton,3/22/16,48.24231,TRUE
2016,National,33,230,REP,Donald Trump,3/23/16,40.78848,TRUE
2016,National,33,230,DEM,Hillary Rodham Clinton,3/23/16,48.27962,TRUE
2016,National,33,229,REP,Donald Trump,3/24/16,40.57411,TRUE
2016,National,33,229,DEM,Hillary Rodham Clinton,3/24/16,48.77098,TRUE
2016,National,33,228,REP,Donald Trump,3/25/16,40.45993,TRUE
2016,National,33,228,DEM,Hillary Rodham Clinton,3/25/16,48.83969,TRUE
2016,National,32,227,REP,Donald Trump,3/26/16,40.69456,TRUE
2016,National,32,227,DEM,Hillary Rodham Clinton,3/26/16,48.82978,TRUE
2016,National,32,226,REP,Donald Trump,3/27/16,40.55281,TRUE
2016,National,32,226,DEM,Hillary Rodham Clinton,3/27/16,48.97817,TRUE
2016,National,32,225,REP,Donald Trump,3/28/16,40.47565,TRUE
