year,incumbent_president,party,winner,job_approval_june,job_approval_july,job_approval_aug,job_approval_sept,job_approval_oct,job_disapproval_june,job_disapproval_july,job_disapproval_aug,job_disapproval_sept,job_disapproval_oct,net_approval_june,net_approval_july,net_approval_aug,net_approval_sept,net_approval_oct
2024,"Biden, Joseph R.",Democrat,,0.38,0.36,0.43,0.42,0.4,0.58,0.58,0.53,0.55,0.56,-0.2,-0.22,-0.1,-0.13,-0.16
2020,"Trump, Donald J.",Republican,FALSE,0.39,0.41,0.42,0.44,0.44,0.57,0.56,0.55,0.54,0.54,-0.18,-0.15,-0.13,-0.1,-0.1
2016,"Obama, Barack H.",Democrat,FALSE,0.5175,0.505,0.515,0.5225,0.5375,0.4425,0.45,0.445,0.44,0.436,0.075,0.055,0.07,0.0825,0.1015
2012,"Obama, Barack H.",Democrat,TRUE,0.4625,0.456,0.45,0.4925,0.524,0.47,0.468,0.45,0.48,0.445,-0.0075,-0.012,0,0.0125,0.079
2008,"Bush, George W.",Republican,FALSE,0.28666667,0.315,0.31,0.303333333,0.265,0.666667,0.63,0.635,0.66,0.69,-0.38000033,-0.315,-0.325,-0.356666667,-0.425
2004,"Bush, George W.",Republican,TRUE,0.485,0.48,0.5,0.526666667,0.491666667,0.49,0.48,0.47333333,0.45,0.476,-0.005,0,0.02666667,0.076666667,0.015666667
2000,"Clinton, Bill",Democrat,FALSE,0.575,0.583333333,0.5975,0.6,0.575,0.38,0.37333333,0.38,0.345,0.375,0.195,0.210000003,0.2175,0.255,0.2
1996,"Clinton, Bill",Democrat,TRUE,0.55,0.575,0.555,0.6,0.563333333,0.395,0.35,0.38,0.32,0.35333333,0.155,0.225,0.175,0.28,0.210000003
1992,"Bush, George H.W.",Republican,FALSE,0.373333333,0.305,0.38,0.375,0.335,0.55333333,0.59,0.57333333,0.54333333,0.57,-0.179999997,-0.285,-0.19333333,-0.16833333,-0.235
1988,"Reagan, Ronald",Republican,TRUE,0.495,0.525,0.53,0.54,0.51,0.42,0.43,0.41,0.42,0.41,0.075,0.095,0.12,0.12,0.1
1984,"Reagan, Ronald",Republican,TRUE,0.545,0.536666667,0.54,0.56,0.58,0.345,0.36,0.38,0.36,0.34,0.2,0.176666667,0.16,0.2,0.24
1980,"Carter, Jimmy",Democrat,FALSE,0.315,0.33,0.32,0.37,0.34,0.57,0.55,0.55,0.55,0.555,-0.255,-0.22,-0.23,-0.18,-0.215
